"90A000428887 28-01 00:15 Emis 22:15"
"62A000443868 01-02 11:35 Emis 09:35"
"00A000444086 01-02 16:04 Emis 14:04"
"54A000447727 04-02 14:47 Emis 12:47"
"38A000448127 04-02 18:46 Emis 16:46"
"99A000448826 05-02 12:15 Emis 10:15"
"79A000451735 08-02 16:23 Emis 14:23"
"43A000452071 08-02 19:25 Emis 17:25"
"21A000455189 11-02 09:02 Emis 07:02"
"58A000474125 27-02 16:23 Emis 14:23"
"26A000474511 27-02 20:32 Emis 18:32"
"87A000474512 01-03 16:21 Emis 14:21"
"81A000474513 01-03 19:12 Emis 17:12"
"18A000480006 04-03 10:50 Emis 08:50"
"94A000480241 04-03 14:35 Emis 12:35"
"03A000480496 04-03 17:31 Emis 15:31"
"67A000481328 05-03 10:32 Emis 08:32"
"97A000483799 07-03 16:52 Emis 14:52"
"37A000484009 07-03 21:14 Emis 19:14"
"24A000484433 08-03 11:20 Emis 09:20"
"52A000484728 08-03 15:59 Emis 13:59"
"56A000485160 08-03 19:28 Emis 17:28"
"77A000486201 09-03 17:00 Emis 15:00"
"03A000486202 19-03 23:29 Emis 21:29"
"48A000486203 20-03 15:59 Emis 13:59"
"18A000500446 20-03 19:05 Emis 17:05"
"60A000507961 26-03 18:27 Emis 16:27"
"49A000508385 26-03 23:05 Emis 21:05"
"26A000569554 14-05 20:41 Emis 18:41"
"68A000569700 14-05 22:57 Emis 20:57"
"90A000585330 28-05 12:49 Emis 10:49"
"11A000638429 07-07 10:25 Emis 08:25"
"16A000647104 13-07 14:12 Emis 12:12"
"45A000647356 13-07 16:44 Emis 14:44"
"64A000647357 20-07 15:43 Emis 13:43"
"30A000647358 19-08 22:01 Emis 20:01"
"59A000697017 23-08 20:01 Emis 18:01"
"75A000700159 25-08 23:05 Emis 21:05"
"72A000705158 30-08 17:35 Emis 15:35"
"45A000705739 30-08 22:49 Emis 20:49"
"70A000710963 03-09 14:42 Emis 12:42"
"20A000722702 12-09 18:20 Emis 16:20"
"28A000723077 13-09 09:16 Emis 07:16"
"76A000724929 14-09 10:44 Emis 08:44"
"97A000725526 14-09 17:42 Emis 15:42"
"00A000728262 16-09 10:13 Emis 08:13"
"19A000728263 16-09 20:34 Emis 18:34"
"55A000728264 17-09 14:00 Emis 12:00"
"88A000737112 21-09 21:58 Emis 19:58"
"83A000738964 22-09 22:13 Emis 20:13"
"05A000739547 23-09 10:24 Emis 08:24"
"80A000740949 24-09 01:50 Emis 23:50"
"78A000741244 24-09 09:49 Emis 07:49"
"01A000742489 24-09 21:49 Emis 19:49"
"00A000742699 25-09 02:17 Emis 00:17"
"74A000748970 29-09 19:32 Emis 17:32"
"26A000751195 01-10 01:58 Emis 23:58"
"23A000751618 01-10 10:33 Emis 08:33"
"58A000751619 04-10 10:53 Emis 08:53"
"09A000751620 21-10 12:27 Emis 10:27"
"45A000786906 22-10 18:53 Emis 16:53"
"43A000790987 25-10 19:38 Emis 17:38"
"06A000804711 04-11 01:50 Emis 23:50"
"52A000805085 04-11 11:03 Emis 09:03"
"99A000825840 16-11 23:46 Emis 21:46"
"48A000826498 17-11 12:39 Emis 10:39"
"13A000828262 18-11 10:50 Emis 08:50"
"53A000828723 18-11 15:50 Emis 13:50"
"81A000829342 18-11 19:40 Emis 17:40"
"06A000829681 18-11 22:30 Emis 20:30"
"06A000829684 18-11 22:31 Emis 20:31"
"06A000829682 18-11 22:30 Emis 20:30"
"06A000829683 18-11 22:30 Emis 20:30"
"06A000829686 18-11 22:32 Emis 20:32"
"06A000829688 18-11 22:40 Emis 20:40"
"06A000829690 18-11 22:48 Emis 20:48"
"06A000829695 18-11 22:59 Emis 20:59"
"06A000829704 18-11 23:03 Emis 21:03"
"06A000829697 18-11 23:00 Emis 21:00"
"06A000829725 18-11 23:25 Emis 21:25"
"35A000829803 19-11 04:38 Emis 02:38"
"35A000829804 19-11 04:45 Emis 02:45"
"87A000829805 19-11 10:13 Emis 08:13"
"81A000829806 19-11 14:23 Emis 12:23"
